t,obs,action,reward,seed
33,4.177492e-15,5.202949e-14,1.2917667e-13,2
34,4.177492e-15,5.202949e-14,1.2917667e-13,2
35,4.177492e-15,5.202949e-14,1.2917667e-13,2
36,4.177492e-15,5.202949e-14,1.2917667e-13,2
37,4.177492e-15,5.202949e-14,1.2917667e-13,2
38,4.177492e-15,5.202949e-14,1.2917667e-13,2
39,4.177492e-15,5.202949e-14,1.2917667e-13,2
40,4.177492e-15,5.202949e-14,1.2917667e-13,2
41,4.177492e-15,5.202949e-14,1.2917667e-13,2
42,4.177492e-15,5.202949e-14,1.2917667e-13,2
43,4.177492e-15,5.202949e-14,1.2917667e-13,2
44,4.177492e-15,5.202949e-14,1.2917667e-13,2
45,4.177492e-15,5.202949e-14,1.2917667e-13,2
46,4.177492e-15,5.202949e-14,1.2917667e-13,2
47,4.177492e-15,5.202949e-14,1.2917667e-13,2
48,4.177492e-15,5.202949e-14,1.2917667e-13,2
49,4.177492e-15,5.202949e-14,1.2917667e-13,2
50,4.177492e-15,5.202949e-14,1.2917667e-13,2
51,4.177492e-15,5.202949e-14,1.2917667e-13,2
52,4.177492e-15,5.202949e-14,1.2917667e-13,2
53,4.177492e-15,5.202949e-14,1.2917667e-13,2
54,4.177492e-15,5.202949e-14,1.2917667e-13,2
55,4.177492e-15,5.202949e-14,1.2917667e-13,2
56,4.177492e-15,5.202949e-14,1.2917667e-13,2
57,4.177492e-15,5.202949e-14,1.2917667e-13,2
58,4.177492e-15,5.202949e-14,1.2917667e-13,2
59,4.177492e-15,5.202949e-14,1.2917667e-13,2
60,4.177492e-15,5.202949e-14,1.2917667e-13,2
61,4.177492e-15,5.202949e-14,1.2917667e-13,2
62,4.177492e-15,5.202949e-14,1.2917667e-13,2
63,4.177492e-15,5.202949e-14,1.2917667e-13,2
64,4.177492e-15,5.202949e-14,1.2917667e-13,2
65,4.177492e-15,5.202949e-14,1.2917667e-13,2
66,4.177492e-15,5.202949e-14,1.2917667e-13,2
67,4.177492e-15,5.202949e-14,1.2917667e-13,2
68,4.177492e-15,5.202949e-14,1.2917667e-13,2
69,4.177492e-15,5.202949e-14,1.2917667e-13,2
70,4.177492e-15,5.202949e-14,1.2917667e-13,2
71,4.177492e-15,5.202949e-14,1.2917667e-13,2
72,4.177492e-15,5.202949e-14,1.2917667e-13,2
73,4.177492e-15,5.202949e-14,1.2917667e-13,2
74,4.177492e-15,5.202949e-14,1.2917667e-13,2
75,4.177492e-15,5.202949e-14,1.2917667e-13,2
76,4.177492e-15,5.202949e-14,1.2917667e-13,2
77,4.177492e-15,5.202949e-14,1.2917667e-13,2
78,4.177492e-15,5.202949e-14,1.2917667e-13,2
79,4.177492e-15,5.202949e-14,1.2917667e-13,2
80,4.177492e-15,5.202949e-14,1.2917667e-13,2
81,4.177492e-15,5.202949e-14,1.2917667e-13,2
82,4.177492e-15,5.202949e-14,1.2917667e-13,2
83,4.177492e-15,5.202949e-14,1.2917667e-13,2
84,4.177492e-15,5.202949e-14,1.2917667e-13,2
85,4.177492e-15,5.202949e-14,1.2917667e-13,2
86,4.177492e-15,5.202949e-14,1.2917667e-13,2
87,4.177492e-15,5.202949e-14,1.2917667e-13,2
88,4.177492e-15,5.202949e-14,1.2917667e-13,2
89,4.177492e-15,5.202949e-14,1.2917667e-13,2
90,4.177492e-15,5.202949e-14,1.2917667e-13,2
91,4.177492e-15,5.202949e-14,1.2917667e-13,2
92,4.177492e-15,5.202949e-14,1.2917667e-13,2
93,4.177492e-15,5.202949e-14,1.2917667e-13,2
94,4.177492e-15,5.202949e-14,1.2917667e-13,2
95,4.177492e-15,5.202949e-14,1.2917667e-13,2
96,4.177492e-15,5.202949e-14,1.2917667e-13,2
97,4.177492e-15,5.202949e-14,1.2917667e-13,2
98,4.177492e-15,5.202949e-14,1.2917667e-13,2
99,4.177492e-15,5.202949e-14,1.2917667e-13,2
100,4.177492e-15,5.202949e-14,1.2917667e-13,2
101,4.177492e-15,5.202949e-14,1.2917667e-13,2
102,4.177492e-15,5.202949e-14,1.2917667e-13,2
103,4.177492e-15,5.202949e-14,1.2917667e-13,2
104,4.177492e-15,5.202949e-14,1.2917667e-13,2
105,4.177492e-15,5.202949e-14,1.2917667e-13,2
106,4.177492e-15,5.202949e-14,1.2917667e-13,2
107,4.177492e-15,5.202949e-14,1.2917667e-13,2
108,4.177492e-15,5.202949e-14,1.2917667e-13,2
109,4.177492e-15,5.202949e-14,1.2917667e-13,2
110,4.177492e-15,5.202949e-14,1.2917667e-13,2
111,4.177492e-15,5.202949e-14,1.2917667e-13,2
112,4.177492e-15,5.202949e-14,1.2917667e-13,2
113,4.177492e-15,5.202949e-14,1.2917667e-13,2
114,4.177492e-15,5.202949e-14,1.2917667e-13,2
115,4.177492e-15,5.202949e-14,1.2917667e-13,2
116,4.177492e-15,5.202949e-14,1.2917667e-13,2
117,4.177492e-15,5.202949e-14,1.2917667e-13,2
118,4.177492e-15,5.202949e-14,1.2917667e-13,2
119,4.177492e-15,5.202949e-14,1.2917667e-13,2
120,4.177492e-15,5.202949e-14,1.2917667e-13,2
121,4.177492e-15,5.202949e-14,1.2917667e-13,2
122,4.177492e-15,5.202949e-14,1.2917667e-13,2
123,4.177492e-15,5.202949e-14,1.2917667e-13,2
124,4.177492e-15,5.202949e-14,1.2917667e-13,2
125,4.177492e-15,5.202949e-14,1.2917667e-13,2
126,4.177492e-15,5.202949e-14,1.2917667e-13,2
127,4.177492e-15,5.202949e-14,1.2917667e-13,2
128,4.177492e-15,5.202949e-14,1.2917667e-13,2
